Sample,Clostridium_perfringens,Clostridium_neonatale,Klebsiella_aerogenes,Klebsiella_oxytoca,Clostridium_innocuum,Clostridioides_difficile,Clostridium_paraputrificum,Enterococcus_faecalis,Clostridium_sp_7_2_43FAA,Klebsiella_pneumoniae,Veillonella_parvula,Proteus_mirabilis,Citrobacter_freundii,Klebsiella_michiganensis,Escherichia_coli,Peptoniphilus_harei,Campylobacter_ureolyticus,Varibaculum_cambriense,Finegoldia_magna,Proteus_hauseri,Citrobacter_amalonaticus,Gemella_asaccharolytica,Citrobacter_youngae,Citrobacter_rodentium,Enterococcus_gallinarum,Bacteroides_caecimuris,Bacteroides_thetaiotaomicron,Akkermansia_muciniphila,Lactobacillus_johnsonii,Blautia_coccoides,Clostridium_clostridioforme,Clostridium_aldenense,Lactobacillus_murinus,Parasutterella_excrementihominis,Proteobacteria_bacterium_CAG_139,Turicimonas_muris,Streptococcus_salivarius,Staphylococcus_epidermidis,Veillonella_dispar,Clostridium_asparagiforme,Clostridium_lavalense,Sphingomonas_melonis,Anaerococcus_vaginalis,Bifidobacterium_breve,Clostridium_bolteae,Clostridium_butyricum,Morganella_morganii,Anaerococcus_hydrogenalis,Negativicoccus_succinicivorans,Actinomyces_europaeus,Corynebacterium_simulans,Staphylococcus_warneri,Klebsiella_variicola,Klebsiella_quasipneumoniae,Staphylococcus_aureus,Dermabacter_hominis,Staphylococcus_argenteus,Corynebacterium_striatum,Citrobacter_pasteurii,Aeriscardovia_aeriphila,Streptococcus_thermophilus,Streptococcus_gordonii,Mycobacteroides_abscessus,Lachnospiraceae_bacterium_28_4,Lachnospiraceae_bacterium_A4,Acutalibacter_muris,Anaerotruncus_sp_G3_2012,Dorea_sp_5_2,Lachnospiraceae_bacterium_A2,Clostridium_sp_ASF502,Enterorhabdus_caecimuris,Clostridium_sp_ASF356,Lachnospiraceae_bacterium_M18_1,Oscillibacter_sp_1_3,Bifidobacterium_pseudolongum,Clostridium_cocleatum,Cutibacterium_acnes,Fusobacterium_nucleatum,Bifidobacterium_longum,Cutibacterium_avidum,Streptococcus_agalactiae,Enterobacter_cloacae_complex,Serratia_marcescens,Pseudomonas_aeruginosa_group,Lactobacillus_paragasseri,Actinomyces_sp_HPA0247,Leclercia_adecarboxylata,Staphylococcus_hominis,Actinomyces_radingae,Anaerococcus_prevotii,Achromobacter_xylosoxidans,Pedobacter_nutrimenti,Achromobacter_insuavis,Delftia_acidovorans,Paenibacillus_pasadenensis,Acinetobacter_gandensis,Acinetobacter_johnsonii,Ruthenibacterium_lactatiformans
B2-d39,29.52699,13.41232,0,5.32794,20.18957,8.34278,8.00934,3.12273,5.95439,0.0289,0.36534,0.96028,0.12981,2.94981,0.1828,0,0,0,0,0,1.37651,0,0.12049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,59.85358,7.30186,0.22541,4.50531,9.47651,7.0759,5.06945,1.36611,0,0.04469,1.47522,1.6167,0.25184,0,0.0767,0,0,0,0,0,1.56088,0,0.09985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-d34,15.13811,0.79903,38.11448,0,14.44297,2.35398,11.31728,2.56496,8.99975,0.35932,0,0.12973,0,0,0.79495,0,0,0,0.77603,0,4.20943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-d39,19.73896,10.4547,0,5.44564,28.55902,8.5714,12.8506,1.96526,5.36833,0.02826,0.90317,0.50469,0.04376,3.18435,1.54964,0.06501,0,0,0,0,0.7653,0.00191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-d40,13.97214,26.05444,0.00689,5.21707,17.05069,7.99005,6.79157,3.79522,2.36698,0.11845,2.90252,2.43989,0.03631,8.93078,1.42713,0.04723,0,0,0,0,0.53857,0.00157,0.05644,0.25607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3-d48,34.82478,19.18567,0.86883,0.06833,20.31298,6.89997,3.46486,1.20745,0.78836,0.02311,5.85557,0.78474,0.05722,1.42629,0.03722,0.77345,1.45711,1.04427,0.01257,0.01466,0.86793,0,0.02463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-d29,1.34326,0,96.35887,0,0,0.52607,0.01205,1.09048,0,0.50157,0,0,0,0.1677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-d34,10.0361,0.08661,65.67093,0,3.5878,2.77435,11.71247,2.37855,2.10839,0.66716,0.1092,0.3787,0,0,0.15776,0,0,0,0.19089,0,0.14108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-d40,15.29743,14.26387,0,7.72396,24.39993,10.32911,7.2941,2.79956,3.97028,0.08395,4.27037,0.58055,0.03265,7.25987,0.32938,0.02804,0.00252,0,0,0,0.86033,0,0,0.4741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4-d48,39.58191,17.60606,1.0466,1.52188,13.95921,7.78282,3.88475,1.50378,1.39595,0.01284,5.69167,0.90275,0.06113,2.15753,0.03546,0.07253,1.62731,0,0,0,1.14302,0,0.01279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-d29,0,0,99.92019,0,0,0,0,0.07981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b5-d33,5.66948,0,81.3853,0,0.19784,3.04019,3.16042,5.5417,0,0.07253,0,0.24548,0,0.68707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-d39,18.95803,10.39748,0,8.59454,26.53742,8.3774,11.01916,1.69305,3.5836,0.06949,3.94144,1.01437,0.22439,3.47279,0.42504,0.4072,0,0.00433,0.00539,0,1.15437,0.03105,0.08945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-d40,32.45746,9.19898,0,6.11507,18.33341,9.74765,8.36521,2.2501,6.7038,0.01627,1.24048,1.1601,0.33042,2.39011,0,0,0,0,0,0,0.56243,0,0.13644,0.99206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-d48,39.15993,16.62989,0.83,1.57155,13.26462,8.12539,4.81102,1.13386,0.91955,0,5.3786,0.57914,0,0.81659,0,1.35924,1.26579,0.32423,0.01799,0,0.58411,0.13746,0.01328,3.07776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d29,0,0,98.01057,0,0,0,0,0.93581,0,0.92139,0,0,0,0.03097,0.10126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b6-d33,3.40893,0,83.08868,0,0.4913,2.16397,3.54118,5.50935,0,0.8836,0,0.11435,0,0,0.79866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d34,7.53993,0.1762,55.34997,0,9.25291,2.86974,11.48472,3.20839,5.74367,0.4971,0,0.05507,0,0.01274,3.19426,0,0,0,0.61529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d39,31.85971,4.84655,0,5.69217,24.60738,8.58325,14.15038,2.37694,4.07697,0.0421,0.24722,0.85528,0.17007,1.22392,0.36365,0,0,0,0,0,0.89133,0,0.01309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d40,30.8451,13.78736,0,9.39029,17.52628,8.81944,4.77925,2.57808,3.25895,0.01221,3.91026,1.07128,0.25858,2.16679,0.206,0,0,0,0,0,1.0502,0,0.12796,0.21201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6-d48,35.1587,17.7911,0.80042,1.05211,16.60002,7.24616,3.74316,1.36818,1.50001,0,6.37887,0.81078,0.02077,2.36282,0.02166,1.85922,1.53435,0.79154,0.00053,0,0.51057,0.13922,0,0.3098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7-d29,0,0,99.59761,0,0,0,0,0.40239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b7-d33,9.89555,0,77.81216,0,0.54056,2.11734,3.85082,5.27567,0.50791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7-d40,13.36463,13.9745,0,6.98671,25.2548,9.64702,5.95493,4.71936,3.2123,0.03366,4.06799,0.77151,0.1804,9.5739,0.33192,0,0,0,0,0,1.30791,0,0.04366,0.57481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7-d48,32.45726,16.61028,0.90863,0.24407,19.04269,7.71774,5.27789,1.17204,0.53631,0.04276,6.16162,0.71429,0.05613,0.95358,0.03937,1.95574,1.45257,1.8771,0.32213,0,0.55548,0,0.0076,1.89473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1,56.03433,17.45695,11.3997,1.18656,6.0592,3.74031,2.20282,1.257,0.29091,0.09384,0.14154,0.10282,0.03403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-d33,0,0,0,0,0,0.11089,0,3.19563,0,0,0,0,0,0,96.69348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-d44,32.28541,11.53663,0,10.41717,17.6158,8.60713,10.35453,1.26775,3.47464,0,0,0.33739,0,0.02275,3.3823,0,0,0,0,0,0.69851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-d45,44.43591,12.77643,0,2.93409,9.9528,18.1058,8.15518,0.43969,2.38489,0,0,0,0,0.81522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1-d53,38.82418,14.57027,0.68115,0.01705,16.9789,9.53333,3.52238,1.46484,1.08972,0.06908,5.88135,0.82942,0.12229,4.62503,0.03479,0,0,0,0,0,1.72566,0,0.03059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C19,51.29939,11.6161,0.40111,0,14.51288,6.22421,3.06348,1.54636,0.51723,0,3.66717,0.71221,0,2.06457,0.01245,1.47542,1.11509,0.91754,0.10762,0,0.74717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-colon,46.4485,13.71793,0.1038,0,15.92951,9.24325,4.2673,0.80869,0.7374,0,4.34394,0.57164,0,2.91288,0,0,0,0.05664,0,0,0.85853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d37,0,0,69.08031,0,4.3921,3.82149,0.98708,11.64609,10.07294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d44,48.31754,4.73013,0,7.45685,13.46237,7.84836,11.42019,1.43903,1.61492,0,0,0.61562,0.14367,0.03183,2.36655,0,0,0,0,0,0.50493,0,0.04801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d45,21.24552,14.2602,0,3.66131,33.57691,9.29811,8.36893,3.23379,0.80447,0,0,0.63107,0.04394,1.33112,2.88695,0,0,0,0,0,0.55832,0,0.02325,0.07611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2-d49,34.05815,18.37757,0.87007,4.26753,23.59549,2.96095,5.02796,1.92929,0.89838,0.10393,2.61558,1.26722,0.30008,0.34538,1.1757,0,0,0,0,0.01082,2.14825,0,0.04766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
